"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000110900",262.805275325959,-1.43964496253216,0.142068979230404,2.89125430779466e-25,3.00723872915937e-23,"TSPAN11","441631"
"ENSG00000164742",353.799478277241,-2.54000497767994,0.256131543675595,2.93411420436226e-25,3.03427879271808e-23,"ADCY1","107"
"ENSG00000163697",2266.27450187641,1.06293429907533,0.104830907985486,3.020465179235e-25,3.10572859629455e-23,"APBB2","323"
"ENSG00000174136",2831.70301250684,-0.955080260045386,0.0943046192934204,4.36586449754135e-25,4.4636003277704e-23,"RGMB","285704"
"ENSG00000120837",1841.38811314411,1.0208169384421,0.100795773512127,4.52123038630024e-25,4.59632878932692e-23,"NFYB","4801"
"ENSG00000164292",14399.5505965512,1.03763480238013,0.102053877743668,5.33748822904008e-25,5.39566085355883e-23,"RHOBTB3","22836"
"ENSG00000132356",2383.87708318029,0.854358745617187,0.0846517365969781,7.17362891864908e-25,7.2113004895068e-23,"PRKAA1","5562"
"ENSG00000152580",5992.50455672065,-1.13617246650926,0.113463024198509,8.87367332882064e-25,8.87071543771103e-23,"IGSF10","285313"
"ENSG00000183044",498.690421563468,1.13749271106251,0.113396128440509,9.70016533372286e-25,9.64335773563587e-23,"ABAT","18"
"ENSG00000013297",3431.57264316715,-1.74195700026032,0.176485080205807,1.10740999340638e-24,1.09487557260189e-22,"CLDN11","5010"
"ENSG00000172061",231.277302725498,-2.50650113338474,0.254730511372353,1.1397810563598e-24,1.12072242230263e-22,"LRRC15","131578"
"ENSG00000102554",149.552913663167,2.43523357590377,0.245796119770528,1.24782854587233e-24,1.22029493774059e-22,"KLF5","688"
"ENSG00000173221",1983.22155774674,0.989659977198099,0.0988260932177365,1.47200573830811e-24,1.43174439216844e-22,"GLRX","2745"
"ENSG00000099194",785.211998028092,-1.9537434503386,0.199239858381643,1.50495913632422e-24,1.4559265967214e-22,"SCD","6319"
"ENSG00000164070",591.684378009254,-1.29849024591591,0.130784906141167,1.85911368671176e-24,1.78892468870008e-22,"HSPA4L","22824"
"ENSG00000152601",5822.54908478731,0.850487529517168,0.0852619016867205,2.84337725252911e-24,2.72147501500047e-22,"MBNL1","4154"
"ENSG00000008311",721.942089206498,1.07721299341278,0.108672847361796,3.25687517026324e-24,3.1007519478157e-22,"AASS","10157"
"ENSG00000237697",126.794572516762,1.98631182056413,0.201491210738982,3.98660091697616e-24,3.77552088947732e-22,NA,NA
"ENSG00000126950",786.116082755273,-1.67461806326306,0.1714846331788,4.5589730648069e-24,4.29498226848876e-22,"TMEM35A","59353"
"ENSG00000173068",2793.38464596547,-0.855525385534998,0.0864206182231319,5.27428203408388e-24,4.94299119381799e-22,"BNC2","54796"
"ENSG00000170624",2121.08039267073,-1.11703780216203,0.113619422091257,5.76905951435573e-24,5.3786765233843e-22,"SGCD","6444"
"ENSG00000088756",685.723239064796,-1.61749540406047,0.165955591800601,6.74925919869896e-24,6.26011185677263e-22,"ARHGAP28","79822"
"ENSG00000103502",3319.86908904901,0.814216601586918,0.0822654516351936,9.35351478505316e-24,8.63113564319213e-22,"CDIPT","10423"
"ENSG00000177614",133.150339732154,-2.5183721518068,0.260567732724135,9.77164798724176e-24,8.97097111645042e-22,"PGBD5","79605"
"ENSG00000118689",5165.48667934315,1.23767725501389,0.127110841911912,1.1725604103813e-23,1.07101786925894e-21,"FOXO3","2309"
"ENSG00000164484",816.794097566618,-1.18458104996815,0.121527190228743,1.33220420246685e-23,1.21069103127214e-21,"TMEM200A","114801"
"ENSG00000128510",164.045430457896,-2.21586363977178,0.228824110430952,1.46025088227163e-23,1.32038966711537e-21,"CPA4","51200"
"ENSG00000181061",2420.90428250501,1.17924200366596,0.121354708966474,1.65448853562678e-23,1.48854333550342e-21,"HIGD1A","25994"
"ENSG00000198431",22734.553343842,1.46995728477065,0.152703506768121,1.78902230564393e-23,1.60157549093318e-21,"TXNRD1","7296"
"ENSG00000081052",207.134642684968,1.874922784712,0.193889301544753,1.89524816722362e-23,1.68827205549613e-21,"COL4A4","1286"
"ENSG00000173517",7990.51234665395,0.971677620035494,0.100104692528896,2.31871838305924e-23,2.05532111255015e-21,"PEAK1","79834"
"ENSG00000113580",2811.33538556594,-0.962165300797553,0.0993230817454075,2.55223241799472e-23,2.25121912399005e-21,"NR3C1","2908"
"ENSG00000132970",1322.81532016482,1.08872062239712,0.112297314616879,2.60186179603769e-23,2.28380005648303e-21,"WASF3","10810"
"ENSG00000127824",228.718631937045,-1.53079829776871,0.158583627917713,2.81837810856839e-23,2.46183959638736e-21,"TUBA4A","7277"
"ENSG00000179820",3784.35383489187,1.46808389187362,0.153419409356892,3.36810742764702e-23,2.92781280449664e-21,"MYADM","91663"
"ENSG00000136436",3129.16074209745,1.11463585551295,0.115645599528236,3.70880103012606e-23,3.20846950654271e-21,"CALCOCO2","10241"
